name,brand_name,price,couponStatus,code,link
Men Brand Embroidered Baseball Cap,jack-jones,799,Coupon Applicable,469430215001,/jack--jones-men-brand-embroidered-baseball-cap/p/469430215_blue
Men Embroidered Baseball Cap,dnmx,299,Coupon Applicable,441405067001,/dnmx-men-embroidered-baseball-cap/p/441405067_black
Corry-Div Adjustable Baseball Cap,diesel,5999,Coupon Applicable,410315384003,/diesel-corry-div-adjustable-baseball-cap/p/410315384_9xx
Men Typographic Print Panelled Baseball Cap,dnmx,299,Coupon Applicable,441221896001,/dnmx-men-typographic-print-panelled-baseball-cap/p/441221896_multi
Fabric detail: Combed cotton rich,jockey,799,Coupon Applicable,465744208001,/jockey-fabric-detail-combed-cotton-rich/p/465744208_red
Men Baseball Cap with Brand Print,matchitt,275,Coupon Applicable,442086804001,/matchitt-men-baseball-cap-with-brand-print/p/442086804_red
Men Baseball Cap with Signature Branding,puma,359,Coupon Applicable,460478475001,/puma-men-baseball-cap-with-signature-branding/p/460478475_black
Men 6-Panelled Baseball Cap,puma,329,Coupon Applicable,460032722001,/puma-men-6-panelled-baseball-cap/p/460032722_black
Men Printed Baseball Cap,puma,1151,Coupon Applicable,469453016001,/puma-men-printed-baseball-cap/p/469453016_black
Men Baseball Cap with Tonal Embossed Logo,armani-exchange,6999,Coupon Applicable,410369027001,/armani-exchange-men-baseball-cap-with-tonal-embossed-logo/p/410369027_00020
Badger 2 Snapback Cap,dc-shoes,1097,Coupon Applicable,410301713005,/dc-shoes-badger-2-snapback-cap/p/410301713_crb0
Embroidered Baseball Cap,puma,1187,Coupon Applicable,469452950001,/puma-embroidered-baseball-cap/p/469452950_green
Men Baseball Cap with Logo Patch,g-star-raw,2999,Coupon Applicable,410371095001,/g-star-raw-men-baseball-cap-with-logo-patch/p/410371095_6067
Men Colourblock Baseball Cap,dnmx,299,Coupon Applicable,441405068001,/dnmx-men-colourblock-baseball-cap/p/441405068_red
Baseball Cap with Contrast Piping,puma,1424,Coupon Applicable,469452981001,/puma-baseball-cap-with-contrast-piping/p/469452981_beige
Brand Embroidered Baseball Cap,replay,3599,Coupon Applicable,410379760001,/replay-brand-embroidered-baseball-cap/p/410379760_001
Men Vintage Brand Mark Trucker Cap,superdry,1814,Coupon Applicable,410354411003,/superdry-men-vintage-brand-mark-trucker-cap/p/410354411_12a
